true_class,true_glyph,pred_class,pred_glyph,count
character_17_tha,थ,character_32_patalosaw,स,3
character_4_gha,घ,character_19_dha,ध,3
character_19_dha,ध,character_4_gha,घ,3
character_18_da,द,character_14_dhaa,ढ,3
character_7_chha,छ,digit_6,६,2
character_31_petchiryakha,ष,character_21_pa,प,2
character_36_gya,ज्ञ,character_8_ja,ज,2
character_15_adna,ण,character_3_ga,ग,2
character_25_ma,म,character_32_patalosaw,स,2
character_14_dhaa,ढ,character_18_da,द,2
character_17_tha,थ,character_26_yaw,य,2
character_19_dha,ध,character_17_tha,थ,2
character_5_kna,ङ,character_13_daa,ड,2
character_20_na,न,character_16_tabala,त,2
character_33_ha,ह,character_11_taamatar,ट,2
character_23_ba,ब,character_31_petchiryakha,ष,2
digit_0,०,character_12_thaa,ठ,2
character_17_tha,थ,character_19_dha,ध,1
character_8_ja,ज,character_13_daa,ड,1
character_21_pa,प,character_17_tha,थ,1
character_26_yaw,य,character_21_pa,प,1
character_16_tabala,त,character_18_da,द,1
character_24_bha,भ,character_17_tha,थ,1
character_10_yna,ञ,character_35_tra,त्र,1
character_18_da,द,digit_8,८,1
character_18_da,द,character_27_ra,र,1
character_32_patalosaw,स,character_27_ra,र,1
character_20_na,न,character_1_ka,क,1
character_25_ma,म,character_24_bha,भ,1
character_28_la,ल,character_16_tabala,त,1
character_34_chhya,क्ष,character_18_da,द,1
character_8_ja,ज,character_29_waw,व,1
character_23_ba,ब,character_20_na,न,1
character_6_cha,च,character_21_pa,प,1
digit_6,६,character_7_chha,छ,1
character_35_tra,त्र,character_24_bha,भ,1
digit_5,५,digit_3,३,1
character_5_kna,ङ,character_1_ka,क,1
character_26_yaw,य,character_4_gha,घ,1
character_22_pha,फ,character_1_ka,क,1
character_11_taamatar,ट,character_29_waw,व,1
character_7_chha,छ,character_18_da,द,1
character_32_patalosaw,स,character_36_gya,ज्ञ,1
character_4_gha,घ,character_7_chha,छ,1
digit_6,६,digit_5,५,1
character_7_chha,छ,character_27_ra,र,1
character_32_patalosaw,स,character_14_dhaa,ढ,1
character_34_chhya,क्ष,character_23_ba,ब,1
character_25_ma,म,character_9_jha,झ,1
digit_6,६,digit_1,१,1
character_4_gha,घ,character_21_pa,प,1
character_20_na,न,digit_1,१,1
character_17_tha,थ,digit_6,६,1
character_26_yaw,य,character_29_waw,व,1
character_31_petchiryakha,ष,digit_7,७,1
character_33_ha,ह,character_12_thaa,ठ,1
character_20_na,न,character_6_cha,च,1
digit_6,६,character_19_dha,ध,1
character_20_na,न,character_28_la,ल,1
character_13_daa,ड,character_8_ja,ज,1
character_17_tha,थ,character_30_motosaw,श,1
character_30_motosaw,श,character_32_patalosaw,स,1
digit_7,७,digit_4,४,1
character_8_ja,ज,character_10_yna,ञ,1
character_18_da,द,character_5_kna,ङ,1
digit_9,९,digit_7,७,1
character_31_petchiryakha,ष,character_35_tra,त्र,1
character_11_taamatar,ट,digit_8,८,1
character_12_thaa,ठ,character_14_dhaa,ढ,1
character_5_kna,ङ,character_12_thaa,ठ,1
character_10_yna,ञ,character_24_bha,भ,1
character_17_tha,थ,character_10_yna,ञ,1
character_17_tha,थ,character_20_na,न,1
digit_5,५,character_27_ra,र,1
character_29_waw,व,character_20_na,न,1
character_2_kha,ख,character_32_patalosaw,स,1
character_4_gha,घ,digit_0,०,1
character_36_gya,ज्ञ,character_30_motosaw,श,1
character_34_chhya,क्ष,character_21_pa,प,1
character_4_gha,घ,character_31_petchiryakha,ष,1
character_20_na,न,character_23_ba,ब,1
digit_2,२,digit_5,५,1
digit_4,४,digit_0,०,1
character_29_waw,व,character_16_tabala,त,1
digit_2,२,digit_1,१,1
character_8_ja,ज,digit_3,३,1
character_23_ba,ब,character_8_ja,ज,1
character_6_cha,च,character_10_yna,ञ,1
digit_9,९,digit_6,६,1
digit_7,७,digit_5,५,1
character_34_chhya,क्ष,character_33_ha,ह,1
character_35_tra,त्र,digit_3,३,1
character_8_ja,ज,character_6_cha,च,1
character_26_yaw,य,character_17_tha,थ,1
character_24_bha,भ,character_25_ma,म,1
character_32_patalosaw,स,character_20_na,न,1
character_14_dhaa,ढ,digit_7,७,1
character_1_ka,क,character_22_pha,फ,1
character_12_thaa,ठ,character_15_adna,ण,1
character_28_la,ल,character_20_na,न,1
character_33_ha,ह,digit_3,३,1
